order,grade,textbook,lesson,category,word,part_of_speech,meaning_in_context,korean_meaning,context_chunk,context_sentence,korean_translation,related_collocation,related_word,relation_meaning,difficulty,quiz_question,quiz_answer,note,source_file
18,1,Common English 1,2,다의어,maintain,verb,유지하다; 관련 의미 확장; 문맥적 의미,유지하다; 관련 의미 확장; 문맥적 의미,maintain body temperature,Bees maintain their body temperature in cold and hot weather.,벌은 춥고 더운 날씨에서 체온을 유지한다.,maintain temperature,,,mid,What does 'maintain' mean here?,유지하다,,grade1_common1_english_polysemy_context.csv
19,1,Common English 1,2,다의어,detect,verb,감지하다; 관련 의미 확장; 문맥적 의미,감지하다; 관련 의미 확장; 문맥적 의미,detect predators,Rabbits can detect predators from any direction.,토끼는 어느 방향에서든 포식자를 감지할 수 있다.,detect predators,,,mid,What does 'detect' mean here?,감지하다,,grade1_common1_english_polysemy_context.csv
20,1,Common English 1,2,다의어,direction,noun,방향; 관련 의미 확장; 문맥적 의미,방향; 관련 의미 확장; 문맥적 의미,from any direction,Rabbits can detect predators from any direction.,토끼는 어느 방향에서든 포식자를 감지할 수 있다.,any direction,,,basic,What does 'direction' mean here?,방향,,grade1_common1_english_polysemy_context.csv
21,1,Common English 1,2,다의어,beat,verb,뛰다; 관련 의미 확장; 문맥적 의미,뛰다; 관련 의미 확장; 문맥적 의미,hearts beat,"Their hearts beat 1,200 beats per minute.","그들의 심장은 분당 1,200번 뛴다.",heart beats,,,basic,What does 'beat' mean here?,뛰다,,grade1_common1_english_polysemy_context.csv
22,1,Common English 1,2,다의어,break up,phrasal verb,깨뜨리다; 부수다; 관련 의미 확장; 문맥적 의미,깨뜨리다; 부수다; 관련 의미 확장; 문맥적 의미,break up the ice,Killer whales work together to break up the ice.,범고래는 얼음을 깨뜨리기 위해 함께 움직인다.,break up,,,mid,What does 'break up' mean here?,깨뜨리다,,grade1_common1_english_polysemy_context.csv
23,1,Common English 1,3,다의어,highlight,verb,강조하다; 관련 의미 확장; 문맥적 의미,강조하다; 관련 의미 확장; 문맥적 의미,highlight the importance,The video highlights the importance of learning diverse languages.,그 영상은 다양한 언어 학습의 중요성을 강조한다.,highlight importance,,,mid,What does 'highlight' mean here?,강조하다,,grade1_common1_english_polysemy_context.csv
24,1,Common English 1,3,다의어,represent,verb,나타내다; 대표하다; 관련 의미 확장; 문맥적 의미,나타내다; 대표하다; 관련 의미 확장; 문맥적 의미,represent cultures,Languages represent the cultures of their speakers.,언어는 화자의 문화를 나타낸다.,represent cultures,,,mid,What does 'represent' mean here?,나타내다,,grade1_common1_english_polysemy_context.csv
25,1,Common English 1,3,다의어,interest,noun,관심; 관련 의미 확장; 문맥적 의미,관심; 관련 의미 확장; 문맥적 의미,have an interest in,I have an interest in learning Spanish.,나는 스페인어 학습에 관심이 있다.,have an interest in,,,basic,What does 'interest' mean here?,관심,,grade1_common1_english_polysemy_context.csv
26,1,Common English 1,3,다의어,course,noun,강좌; 관련 의미 확장; 문맥적 의미,강좌; 관련 의미 확장; 문맥적 의미,beginner course,We decided to take a beginner course together.,우리는 초급 강좌를 함께 듣기로 했다.,take a course,,,basic,What does 'course' mean here?,강좌,,grade1_common1_english_polysemy_context.csv
27,1,Common English 1,3,다의어,take,verb,수강하다; 관련 의미 확장; 문맥적 의미,수강하다; 관련 의미 확장; 문맥적 의미,take a course,We decided to take a beginner course together.,우리는 초급 강좌를 함께 수강하기로 했다.,take a course,,,basic,What does 'take' mean here?,수강하다,,grade1_common1_english_polysemy_context.csv
28,1,Common English 1,3,다의어,expand,verb,확장하다; 관련 의미 확장; 문맥적 의미,확장하다; 관련 의미 확장; 문맥적 의미,expand vocabulary,Listening to songs can help expand your vocabulary.,노래 듣기는 어휘를 확장하는 데 도움이 된다.,expand vocabulary,,,mid,What does 'expand' mean here?,확장하다,,grade1_common1_english_polysemy_context.csv
29,1,Common English 1,3,다의어,enhance,verb,향상시키다; 관련 의미 확장; 문맥적 의미,향상시키다; 관련 의미 확장; 문맥적 의미,enhance comprehension,Songs enhance listening comprehension.,노래는 듣기 이해력을 향상시킨다.,enhance comprehension,,,mid,What does 'enhance' mean here?,향상시키다,,grade1_common1_english_polysemy_context.csv
30,1,Common English 1,3,다의어,journey,noun,과정; 여정; 관련 의미 확장; 문맥적 의미,과정; 여정; 관련 의미 확장; 문맥적 의미,learning journey,Add songs to your language learning journey.,언어 학습 과정에 노래를 더해 보세요.,learning journey,,,mid,What does 'journey' mean here?,과정/여정,,grade1_common1_english_polysemy_context.csv
31,1,Common English 1,4,다의어,artificial,adjective,인공의; 관련 의미 확장; 문맥적 의미,인공의; 관련 의미 확장; 문맥적 의미,artificial intelligence,Artificial intelligence can create music and art.,인공지능은 음악과 예술을 만들 수 있다.,artificial intelligence,,,basic,What does 'artificial' mean here?,인공의,,grade1_common1_english_polysemy_context.csv
32,1,Common English 1,4,다의어,intelligence,noun,지능; 관련 의미 확장; 문맥적 의미,지능; 관련 의미 확장; 문맥적 의미,artificial intelligence,Artificial intelligence is used in music and art.,인공지능은 음악과 예술에 사용된다.,artificial intelligence,,,basic,What does 'intelligence' mean here?,지능,,grade1_common1_english_polysemy_context.csv
33,1,Common English 1,4,다의어,generate,verb,생성하다; 관련 의미 확장; 문맥적 의미,생성하다; 관련 의미 확장; 문맥적 의미,AI-generated music,AI-generated music is high in quality.,AI가 생성한 음악은 품질이 높다.,generate music,,,mid,What does 'generated' mean here?,생성된,,grade1_common1_english_polysemy_context.csv
34,1,Common English 1,4,다의어,respond,verb,반응하다; 관련 의미 확장; 문맥적 의미,반응하다; 관련 의미 확장; 문맥적 의미,respond to steps,The artwork responded to my steps.,그 작품은 나의 발걸음에 반응했다.,respond to,,,mid,What does 'respond' mean here?,반응하다,,grade1_common1_english_polysemy_context.csv
35,1,Common English 1,4,다의어,interactive,adjective,상호작용하는; 관련 의미 확장; 문맥적 의미,상호작용하는; 관련 의미 확장; 문맥적 의미,interactive art,Some artists try to create interactive art.,일부 예술가들은 상호작용하는 예술을 만들려고 한다.,interactive art,,,mid,What does 'interactive' mean here?,상호작용하는,,grade1_common1_english_polysemy_context.csv
36,1,Common English 1,4,다의어,format,noun,형식; 관련 의미 확장; 문맥적 의미,형식; 관련 의미 확장; 문맥적 의미,interactive art format,Artists create an interactive art format.,예술가들은 상호작용형 예술 형식을 만든다.,art format,,,mid,What does 'format' mean here?,형식,,grade1_common1_english_polysemy_context.csv
37,1,Common English 1,4,다의어,virtual,adjective,가상의; 관련 의미 확장; 문맥적 의미,가상의; 관련 의미 확장; 문맥적 의미,virtual tour,Take a virtual tour of an online museum.,온라인 박물관의 가상 투어를 해 보세요.,virtual tour,,,mid,What does 'virtual' mean here?,가상의,,grade1_common1_english_polysemy_context.csv
38,1,Common English 1,4,다의어,impressive,adjective,인상적인; 관련 의미 확장; 문맥적 의미,인상적인; 관련 의미 확장; 문맥적 의미,That’s impressive,The artwork created with technology is impressive.,기술로 만든 예술 작품은 인상적이다.,be impressive,,,basic,What does 'impressive' mean here?,인상적인,,grade1_common1_english_polysemy_context.csv
39,1,Common English 2,1,다의어,device,noun,기기; 관련 의미 확장; 문맥적 의미,기기; 관련 의미 확장; 문맥적 의미,digital devices,What do you do with your digital devices?,디지털 기기로 무엇을 하는가?,digital device,,,basic,What does 'device' mean here?,기기,,grade1_common2_english_polysemy_context.csv
40,1,Common English 2,1,다의어,concerned,adjective,걱정하는; 관련 의미 확장; 문맥적 의미,걱정하는; 관련 의미 확장; 문맥적 의미,feel concerned,The woman feels concerned about the boy’s phone use.,여자는 소년의 휴대전화 사용에 대해 걱정한다.,feel concerned,,,basic,What does 'concerned' mean here?,걱정하는,,grade1_common2_english_polysemy_context.csv
41,1,Common English 2,1,다의어,control,verb,조절하다; 통제하다; 관련 의미 확장; 문맥적 의미,조절하다; 통제하다; 관련 의미 확장; 문맥적 의미,control phone use,He will use an app to control his phone use.,그는 휴대전화 사용을 조절하기 위해 앱을 사용할 것이다.,control use,,,mid,What does 'control' mean here?,조절하다,,grade1_common2_english_polysemy_context.csv
42,1,Common English 2,1,다의어,limit,verb,제한하다; 관련 의미 확장; 문맥적 의미,제한하다; 관련 의미 확장; 문맥적 의미,limit screen time,He will use an app to limit his screen time.,그는 화면 시간을 제한하기 위해 앱을 사용할 것이다.,limit time,,,mid,What does 'limit' mean here?,제한하다,,grade1_common2_english_polysemy_context.csv
43,1,Common English 2,1,다의어,footprint,noun,흔적; 관련 의미 확장; 문맥적 의미,흔적; 관련 의미 확장; 문맥적 의미,digital footprint,A digital footprint is online information about a person.,디지털 발자국은 한 사람에 대한 온라인 정보이다.,digital footprint,,,mid,What does 'footprint' mean here?,흔적,,grade1_common2_english_polysemy_context.csv
44,1,Common English 2,1,다의어,reveal,verb,드러내다; 관련 의미 확장; 문맥적 의미,드러내다; 관련 의미 확장; 문맥적 의미,reveal privacy,Digital footprints can reveal privacy.,디지털 발자국은 사생활을 드러낼 수 있다.,reveal privacy,,,mid,What does 'reveal' mean here?,드러내다,,grade1_common2_english_polysemy_context.csv
45,1,Common English 2,1,다의어,determine,verb,결정하다; 관련 의미 확장; 문맥적 의미,결정하다; 관련 의미 확장; 문맥적 의미,determine reputation,Digital footprints can determine digital reputation.,디지털 발자국은 디지털 평판을 결정할 수 있다.,determine reputation,,,high,What does 'determine' mean here?,결정하다,,grade1_common2_english_polysemy_context.csv
46,1,Common English 2,1,다의어,access,noun,접근 권한; 관련 의미 확장; 문맥적 의미,접근 권한; 관련 의미 확장; 문맥적 의미,limit access,Limit the access to your posts on social media.,소셜 미디어 게시물에 대한 접근 권한을 제한하라.,limit access,,,mid,What does 'access' mean here?,접근 권한,,grade1_common2_english_polysemy_context.csv
47,1,Common English 2,1,다의어,secure,adjective,안전한; 관련 의미 확장; 문맥적 의미,안전한; 관련 의미 확장; 문맥적 의미,secure Internet connection,Public Wi-Fi is usually not a secure Internet connection.,공공 와이파이는 대개 안전한 인터넷 연결이 아니다.,secure connection,,,mid,What does 'secure' mean here?,안전한,,grade1_common2_english_polysemy_context.csv
48,1,Common English 2,1,다의어,valid,adjective,타당한; 관련 의미 확장; 문맥적 의미,타당한; 관련 의미 확장; 문맥적 의미,valid argument,"To make an argument valid, it needs evidence.",주장을 타당하게 만들려면 증거가 필요하다.,valid argument,,,high,What does 'valid' mean here?,타당한,,grade1_common2_english_polysemy_context.csv
49,1,Common English 2,1,다의어,evidence,noun,증거; 관련 의미 확장; 문맥적 의미,증거; 관련 의미 확장; 문맥적 의미,backed up with evidence,An argument needs to be backed up with evidence.,주장은 증거로 뒷받침되어야 한다.,back up with evidence,,,mid,What does 'evidence' mean here?,증거,,grade1_common2_english_polysemy_context.csv
50,1,Common English 2,1,다의어,manipulate,verb,조작하다; 관련 의미 확장; 문맥적 의미,조작하다; 관련 의미 확장; 문맥적 의미,manipulate data,Some companies can manipulate data.,일부 회사는 데이터를 조작할 수 있다.,manipulate data,,,high,What does 'manipulate' mean here?,조작하다,,grade1_common2_english_polysemy_context.csv
51,1,Common English 2,1,다의어,mislead,verb,잘못 이끌다; 오해하게 하다; 관련 의미 확장; 문맥적 의미,잘못 이끌다; 오해하게 하다; 관련 의미 확장; 문맥적 의미,mislead you,The advertisement might mislead you.,그 광고는 당신을 오해하게 할 수 있다.,mislead people,,,high,What does 'mislead' mean here?,오해하게 하다,,grade1_common2_english_polysemy_context.csv
52,1,Common English 2,1,다의어,prejudice,noun,편견; 관련 의미 확장; 문맥적 의미,편견; 관련 의미 확장; 문맥적 의미,break prejudice,Communication can break the prejudice that divides our community.,의사소통은 공동체를 나누는 편견을 깰 수 있다.,break prejudice,,,high,What does 'prejudice' mean here?,편견,,grade1_common2_english_polysemy_context.csv
53,1,Common English 2,2,다의어,crisis,noun,위기; 관련 의미 확장; 문맥적 의미,위기; 관련 의미 확장; 문맥적 의미,climate crisis,We must cope with the climate crisis on our planet.,우리는 지구의 기후 위기에 대처해야 한다.,climate crisis,,,mid,What does 'crisis' mean here?,위기,,grade1_common2_english_polysemy_context.csv
54,1,Common English 2,2,다의어,cope,verb,대처하다; 관련 의미 확장; 문맥적 의미,대처하다; 관련 의미 확장; 문맥적 의미,cope with,What can we do to cope with the climate crisis?,기후 위기에 대처하기 위해 무엇을 할 수 있는가?,cope with,,,mid,What does 'cope with' mean here?,대처하다,,grade1_common2_english_polysemy_context.csv
55,1,Common English 2,2,다의어,emphasize,verb,강조하다; 관련 의미 확장; 문맥적 의미,강조하다; 관련 의미 확장; 문맥적 의미,emphasize that,I’d like to emphasize that climate change is serious.,기후 변화가 심각하다는 점을 강조하고 싶다.,emphasize that,,,mid,What does 'emphasize' mean here?,강조하다,,grade1_common2_english_polysemy_context.csv
56,1,Common English 2,2,다의어,habitat,noun,서식지; 관련 의미 확장; 문맥적 의미,서식지; 관련 의미 확장; 문맥적 의미,habitats could disappear,People’s habitats could disappear in 50 years.,사람들의 서식지가 50년 안에 사라질 수 있다.,habitat disappears,,,mid,What does 'habitat' mean here?,서식지,,grade1_common2_english_polysemy_context.csv
57,1,Common English 2,2,다의어,adjust,verb,조정하다; 관련 의미 확장; 문맥적 의미,조정하다; 관련 의미 확장; 문맥적 의미,adjust schedule,The man adjusts his schedule to work during cooler hours.,그 남자는 더 시원한 시간에 일하도록 일정을 조정한다.,adjust schedule,,,mid,What does 'adjust' mean here?,조정하다,,grade1_common2_english_polysemy_context.csv
58,1,Common English 2,2,다의어,portable,adjective,휴대용의; 관련 의미 확장; 문맥적 의미,휴대용의; 관련 의미 확장; 문맥적 의미,portable fan,He carries a portable fan during the heat wave.,그는 폭염 중 휴대용 선풍기를 가지고 다닌다.,portable fan,,,basic,What does 'portable' mean here?,휴대용의,,grade1_common2_english_polysemy_context.csv
59,1,Common English 2,2,다의어,drought,noun,가뭄; 관련 의미 확장; 문맥적 의미,가뭄; 관련 의미 확장; 문맥적 의미,deal with droughts,Humans must deal with droughts and floods.,인간은 가뭄과 홍수에 대처해야 한다.,deal with droughts,,,mid,What does 'drought' mean here?,가뭄,,grade1_common2_english_polysemy_context.csv
60,1,Common English 2,2,다의어,flood,noun,홍수; 관련 의미 확장; 문맥적 의미,홍수; 관련 의미 확장; 문맥적 의미,experience a flood,Heavy rain caused a flood.,폭우가 홍수를 일으켰다.,cause a flood,,,basic,What does 'flood' mean here?,홍수,,grade1_common2_english_polysemy_context.csv
61,1,Common English 2,2,다의어,release,verb,방출하다; 관련 의미 확장; 문맥적 의미,방출하다; 관련 의미 확장; 문맥적 의미,release into the atmosphere,Less water is released into the atmosphere.,더 적은 물이 대기 중으로 방출된다.,release into,,,high,What does 'release' mean here?,방출하다,,grade1_common2_english_polysemy_context.csv
62,1,Common English 2,2,다의어,supply,noun,공급; 관련 의미 확장; 문맥적 의미,공급; 관련 의미 확장; 문맥적 의미,water supply,The water supply is not enough.,물 공급이 충분하지 않다.,water supply,,,mid,What does 'supply' mean here?,공급,,grade1_common2_english_polysemy_context.csv
63,1,Common English 2,3,다의어,challenge,noun,도전; 어려움; 관련 의미 확장; 문맥적 의미,도전; 어려움; 관련 의미 확장; 문맥적 의미,face challenges,Challenges in life can make you a better person.,삶의 어려움은 당신을 더 나은 사람으로 만들 수 있다.,face challenges,,,mid,What does 'challenge' mean here?,도전/어려움,,grade1_common2_english_polysemy_context.csv
64,1,Common English 2,3,다의어,resilience,noun,회복탄력성; 관련 의미 확장; 문맥적 의미,회복탄력성; 관련 의미 확장; 문맥적 의미,power to overcome,Resilience is the power to overcome difficulties.,회복탄력성은 어려움을 극복하는 힘이다.,resilience to overcome,,,high,What does 'resilience' mean here?,회복탄력성,,grade1_common2_english_polysemy_context.csv
65,1,Common English 2,3,다의어,overcome,verb,극복하다; 관련 의미 확장; 문맥적 의미,극복하다; 관련 의미 확장; 문맥적 의미,overcome failure,Resilience helps people overcome failure.,회복탄력성은 사람들이 실패를 극복하도록 돕는다.,overcome failure,,,mid,What does 'overcome' mean here?,극복하다,,grade1_common2_english_polysemy_context.csv
66,1,Common English 2,3,다의어,failure,noun,실패; 관련 의미 확장; 문맥적 의미,실패; 관련 의미 확장; 문맥적 의미,learn from failure,One strategy is to learn from failure.,하나의 전략은 실패로부터 배우는 것이다.,learn from failure,,,basic,What does 'failure' mean here?,실패,,grade1_common2_english_polysemy_context.csv
67,1,Common English 2,3,다의어,mindset,noun,사고방식; 관련 의미 확장; 문맥적 의미,사고방식; 관련 의미 확장; 문맥적 의미,positive mindset,A positive mindset helps people face challenges.,긍정적인 사고방식은 사람들이 어려움에 맞서도록 돕는다.,positive mindset,,,mid,What does 'mindset' mean here?,사고방식,,grade1_common2_english_polysemy_context.csv
68,1,Common English 2,3,다의어,concerned,adjective,걱정하는; 관련 의미 확장; 문맥적 의미,걱정하는; 관련 의미 확장; 문맥적 의미,be concerned about,What are you concerned about?,무엇을 걱정하고 있나요?,be concerned about,,,basic,What does 'concerned' mean here?,걱정하는,,grade1_common2_english_polysemy_context.csv
69,1,Common English 2,3,다의어,mess up,phrasal verb,망치다; 관련 의미 확장; 문맥적 의미,망치다; 관련 의미 확장; 문맥적 의미,mess up lines,I might mess up all my lines in my speech.,연설에서 대사를 모두 망칠지도 모른다.,mess up,,,mid,What does 'mess up' mean here?,망치다,,grade1_common2_english_polysemy_context.csv
70,1,Common English 2,3,다의어,deliver,verb,전달하다; 발표하다; 관련 의미 확장; 문맥적 의미,전달하다; 발표하다; 관련 의미 확장; 문맥적 의미,deliver a speech,I’ll focus on delivering the speech.,나는 발표를 전달하는 데 집중할 것이다.,deliver a speech,,,mid,What does 'deliver' mean here?,발표하다/전달하다,,grade1_common2_english_polysemy_context.csv
71,1,Common English 2,3,다의어,significant,adjective,중요한; 관련 의미 확장; 문맥적 의미,중요한; 관련 의미 확장; 문맥적 의미,significant failure,One significant failure for me was losing the contest.,나에게 중요한 실패는 대회에서 진 것이었다.,significant failure,,,mid,What does 'significant' mean here?,중요한,,grade1_common2_english_polysemy_context.csv
72,1,Common English 2,4,다의어,creativity,noun,창의성; 관련 의미 확장; 문맥적 의미,창의성; 관련 의미 확장; 문맥적 의미,creativity within us,Creativity can help us make a better world.,창의성은 더 나은 세상을 만드는 데 도움을 줄 수 있다.,creativity within us,,,mid,What does 'creativity' mean here?,창의성,,grade1_common2_english_polysemy_context.csv
73,1,Common English 2,4,다의어,difference,noun,변화; 차이; 관련 의미 확장; 문맥적 의미,변화; 차이; 관련 의미 확장; 문맥적 의미,make a difference,A young girl can make a difference in the world.,어린 소녀도 세상에 변화를 만들 수 있다.,make a difference,,,mid,What does 'difference' mean here?,변화,,grade1_common2_english_polysemy_context.csv
74,1,Common English 2,4,다의어,drive,noun,추진력; 열정; 관련 의미 확장; 문맥적 의미,추진력; 열정; 관련 의미 확장; 문맥적 의미,curiosity and drive,"With curiosity and drive, anyone can change the world.",호기심과 추진력이 있으면 누구나 세상을 바꿀 수 있다.,curiosity and drive,,,high,What does 'drive' mean here?,추진력/열정,,grade1_common2_english_polysemy_context.csv
75,1,Common English 2,4,다의어,invention,noun,발명품; 관련 의미 확장; 문맥적 의미,발명품; 관련 의미 확장; 문맥적 의미,talk about the invention,The invention was based on personal experience.,그 발명품은 개인적 경험에 기반했다.,based on invention,,,mid,What does 'invention' mean here?,발명품,,grade1_common2_english_polysemy_context.csv
76,1,Common English 2,4,다의어,detect,verb,감지하다; 관련 의미 확장; 문맥적 의미,감지하다; 관련 의미 확장; 문맥적 의미,detect the time,The device detects the time.,그 장치는 시간을 감지한다.,detect time,,,mid,What does 'detect' mean here?,감지하다,,grade1_common2_english_polysemy_context.csv
77,1,Common English 2,4,다의어,process,noun,과정; 관련 의미 확장; 문맥적 의미,과정; 관련 의미 확장; 문맥적 의미,process of making,What was the most difficult part in the process of making a windmill?,풍차를 만드는 과정에서 가장 어려웠던 부분은 무엇인가?,process of making,,,mid,What does 'process' mean here?,과정,,grade1_common2_english_polysemy_context.csv
78,1,Common English 2,4,다의어,produce,verb,생산하다; 관련 의미 확장; 문맥적 의미,생산하다; 관련 의미 확장; 문맥적 의미,produce electricity,His windmill could produce electricity and pump water.,그의 풍차는 전기를 생산하고 물을 끌어올릴 수 있었다.,produce electricity,,,mid,What does 'produce' mean here?,생산하다,,grade1_common2_english_polysemy_context.csv
79,1,Common English 2,4,다의어,pump,verb,퍼 올리다; 관련 의미 확장; 문맥적 의미,퍼 올리다; 관련 의미 확장; 문맥적 의미,pump water,The windmill could pump water.,그 풍차는 물을 퍼 올릴 수 있었다.,pump water,,,basic,What does 'pump' mean here?,퍼 올리다,,grade1_common2_english_polysemy_context.csv
80,1,Common English 2,4,다의어,convenient,adjective,편리한; 관련 의미 확장; 문맥적 의미,편리한; 관련 의미 확장; 문맥적 의미,make life convenient,Creative ideas can make life more convenient.,창의적 아이디어는 삶을 더 편리하게 만들 수 있다.,make convenient,,,basic,What does 'convenient' mean here?,편리한,,grade1_common2_english_polysemy_context.csv
81,1,Common English 2,4,다의어,focus,verb,집중하다; 관련 의미 확장; 문맥적 의미,집중하다; 관련 의미 확장; 문맥적 의미,stay focused,This allows students to attend class comfortably and stay focused.,이것은 학생들이 편안하게 수업에 참여하고 집중하게 해 준다.,stay focused,,,basic,What does 'focus' mean here?,집중하다,,grade1_common2_english_polysemy_context.csv
82,1,CSAT Word Relations,,다의어,major,n./a.,"전공; 주요한, 다수의, 음의 장조의","전공; 주요한, 다수의, 음의 장조의",,,,,,,,,,cf. major in ~을 전공하다,word_relations_polysemy_antonyms_synonyms(1).csv
83,1,CSAT Word Relations,,다의어,appreciate,v.,"진가를 알다, 평가하다, 감사하다, 감상하다","진가를 알다, 평가하다, 감사하다, 감상하다",,,,,,,,,,,word_relations_polysemy_antonyms_synonyms(1).csv
