source_order,section,grade,textbook,lesson,phrasal_verb,korean_meaning,example_sentence,chunk_type,difficulty,learning_tip,source_note
14,공통영어1,1,Common English 1,2,find out,알아내다,Why don’t we search online to find out?,verb + particle,basic,검색·탐구 활동에서 빈출,L2 Express Ideas
15,공통영어1,1,Common English 1,2,point out,지적하다,"If you want to point out that someone is wrong, be polite.",verb + particle,mid,point out + that절 구조,L2 Speaking Strategy
16,공통영어1,1,Common English 1,2,start off,시작하다,It is more polite to start off by saying “I’m afraid.”,verb + particle,mid,말하기 전략 표현,L2 Speaking Strategy
17,공통영어1,1,Common English 1,2,be related to,~와 관련이 있다,Find surprising facts related to hummingbirds.,be + pp + prep,mid,related to를 하나의 chunk로 인식,L2 Speaking
18,공통영어1,1,Common English 1,2,be protected from,~로부터 보호받다,Black rhinos are protected from hunting.,be + pp + prep,mid,수동태 + 전치사 chunk,L2 Introduction
19,공통영어1,1,Common English 1,3,be interested in,~에 관심이 있다,I’m interested in studying Chinese.,be + adj + prep,basic,interested in + 명사/-ing,L3 Express Interests
20,공통영어1,1,Common English 1,3,have an interest in,~에 관심이 있다,I have an interest in learning Spanish.,verb + noun + prep,mid,be interested in과 함께 비교,L3 Listening
21,공통영어1,1,Common English 1,3,think about,~에 대해 생각하다,What do you think about adding songs to your learning?,verb + prep,basic,think about + 명사/-ing,L3 Express Ideas
22,공통영어1,1,Common English 1,3,learn about,~에 대해 배우다,She wants to learn about new cultures.,verb + prep,basic,learn about + topic,L3 Listening
23,공통영어1,1,Common English 1,3,take place,발생하다,Linguistic change takes place across various aspects.,verb phrase,high,happen보다 학술적 표현,L3 Reading
24,공통영어1,1,Common English 1,3,refer to as,~을 …라고 부르다,We refer to the different varieties as Englishes.,verb + prep + prep,high,refer to A as B 구조,L3 Reading
25,공통영어1,1,Common English 1,3,match up with,~와 들어맞다,Language can match up with cultural contexts.,verb + particle + prep,high,수능 독해형 chunk,L3 Reading
26,공통영어1,1,Common English 1,3,sing along to,~에 맞춰 따라 부르다,"Singing along to my favorite song, I danced around the room.",verb + particle + prep,mid,노래·학습 전략 맥락,L3 Structure
27,공통영어1,1,Common English 1,3,out of the blue,갑자기; 뜻밖에,The idiom out of the blue describes an unexpected event.,idiom,mid,관용어로 통째로 암기,L3 Writing
28,공통영어1,1,Common English 1,4,work with,~을 가지고 작업하다,He is known as an artist to work with virtual and digital art.,verb + prep,basic,work with + tool/material,L4 Reading
29,공통영어1,1,Common English 1,4,respond to,~에 반응하다,The artwork responded to my steps.,verb + prep,mid,respond to + stimulus,L4 Listening
30,공통영어1,1,Common English 1,4,look forward to,~을 기대하다,I’m looking forward to seeing it.,verb phrase + to,basic,look forward to + -ing,L4 Communicative Function
31,공통영어1,1,Common English 1,4,come alive,생생해지다,The artwork came alive because it was responding to my movement.,verb phrase,mid,예술·기술 주제 표현,L4 Listening
32,공통영어1,1,Common English 1,4,be created with,~로 만들어지다,The artwork was created with technology.,be + pp + prep,mid,수동태 chunk,L4 Speaking
33,공통영어1,1,Common English 1,4,be generated by,~에 의해 생성되다,The painting was generated by AI.,be + pp + prep,mid,AI 관련 지문에서 빈출,L4 Reading
34,공통영어1,1,Common English 1,4,look closer,더 자세히 보다,"As I look closer, I notice details.",verb phrase,basic,관찰·감상 표현,L4 Art Review
35,공통영어2,1,Common English 2,1,communicate with,~와 의사소통하다,We don’t communicate as much as we used to.,verb + prep,basic,communicate with people 구조,L1 Introduction
36,공통영어2,1,Common English 2,1,used to,예전에 ~하곤 했다,We don’t communicate as much as we used to.,semi-modal phrase,mid,과거 습관 표현,L1 Get Ready
37,공통영어2,1,Common English 2,1,due to,~때문에,People communicate less due to smartphones.,prep phrase,mid,원인 표현으로 독해 빈출,L1 Get Ready
38,공통영어2,1,Common English 2,1,ask to,~해 달라고 요청하다,Could I ask you to help me?,verb + object + to,basic,요청 표현,L1 Communicative Function
39,공통영어2,1,Common English 2,1,hand over,넘겨주다,He will hand over his phone to his mother.,verb + particle,mid,hand over A to B 구조,L1 Listening
40,공통영어2,1,Common English 2,1,stay up,깨어 있다; 늦게 자다,I stay up late at night using my smartphone.,verb + particle,basic,stay up late 통째로 학습,L1 Express Ideas
41,공통영어2,1,Common English 2,1,mess with,~을 망치다; 방해하다,It’s messing with my sleep schedule.,verb + prep,mid,구어체 표현,L1 Speaking
42,공통영어2,1,Common English 2,1,break a habit,습관을 고치다,Help me find ways to break my bad habit.,verb + noun,basic,break a bad habit chunk,L1 Speaking
43,공통영어2,1,Common English 2,1,type in,입력하다,Do not type in personal information on public Wi-Fi.,verb + particle,basic,디지털 생활 필수 표현,L1 Express Responsibilities
44,공통영어2,1,Common English 2,1,fall into,~에 빠지다,Avoid falling into the trap of an echo chamber.,verb + prep,high,fall into a trap 표현,L1 Further Reading
45,공통영어2,1,Common English 2,1,leak out,새어 나가다,Sound doesn’t leak out and returns as an echo.,verb + particle,mid,정보·소리와 함께 사용 가능,L1 Further Reading
46,공통영어2,1,Common English 2,1,engage with,~와 관계를 맺다; 접하다,Engage with people who have different views.,verb + prep,high,토론·사회 지문 빈출,L1 Further Reading
47,공통영어2,1,Common English 2,1,break out of,~에서 벗어나다,Breaking out of the echo chamber is important.,verb + particle + prep,high,제목형 chunk로 활용,L1 Further Reading
48,공통영어2,1,Common English 2,2,cope with,~에 대처하다,We must cope with the climate crisis.,verb + prep,high,문제 해결 지문 빈출,L2 Topic
49,공통영어2,1,Common English 2,2,come to realize,깨닫게 되다,I came to realize how serious climate change is.,verb phrase,mid,come to + 동사원형,L2 Get Ready
50,공통영어2,1,Common English 2,2,deal with,~을 다루다; 처리하다,Humans can deal with droughts and floods.,verb + prep,high,수능·독해 핵심 구동사,L2 Listening/Think
51,공통영어2,1,Common English 2,2,take action,행동을 취하다,It’s time to take action.,verb + noun,basic,환경 주제 핵심 chunk,L2 Title
52,공통영어2,1,Common English 2,2,turn off,끄다,Turn off lights to save energy.,verb + particle,basic,생활 영어 기본 구동사,L2 Express Ideas
53,공통영어2,1,Common English 2,2,carry out,수행하다,Carry out small actions for the planet.,verb + particle,mid,과제·계획 수행 표현,L2 Topic extension
54,공통영어2,1,Common English 2,2,reach for,~을 잡으려고 손을 뻗다,I open the door and reach for a bag.,verb + prep,mid,서사 지문 동작 표현,L2 Reading
55,공통영어2,1,Common English 2,2,pull away,끌어당겨 가져가다; 물러나다,I find it pulled away by a woman.,verb + particle,mid,서사 맥락에서 의미 추론,L2 Reading
56,공통영어2,1,Common English 2,2,look for,~을 찾다,I look for Garret in the frozen aisle.,verb + prep,basic,일상적 구동사,L2 Reading
57,공통영어2,1,Common English 2,2,take notice,알아차리다; 주목하다,Other people have taken notice.,verb phrase,mid,서사·뉴스 지문에 유용,L2 Reading
58,공통영어2,1,Common English 2,3,be concerned about,~을 걱정하다,What are you concerned about?,be + adj + prep,basic,감정 묻기 표현,L3 Communicative Function
59,공통영어2,1,Common English 2,3,give up,포기하다,Don’t stop and give up.,verb + particle,basic,격려 표현,L3 Listening
60,공통영어2,1,Common English 2,3,learn from,~에서 배우다,They emphasize learning from experiences.,verb + prep,basic,실패·경험 주제 핵심,L3 Get Ready
61,공통영어2,1,Common English 2,3,look after,돌보다,Have personal time to look after yourself.,verb + prep,basic,look after oneself 구조,L3 Reading
62,공통영어2,1,Common English 2,3,ask for,~을 요청하다,Allow yourself to ask for help.,verb + prep,basic,ask for help 통째로 학습,L3 Reading
63,공통영어2,1,Common English 2,3,talk about,~에 대해 이야기하다,Talking about your issues can help.,verb + prep,basic,말하기 활동 기본 chunk,L3 Reading
64,공통영어2,1,Common English 2,3,respond to,~에 대응하다,You can respond to it with more strength.,verb + prep,mid,문제·상황 대응 표현,L3 Reading
65,공통영어2,1,Common English 2,3,apply to,~에 적용하다,Apply these strategies to everyday small stresses.,verb + prep,high,apply A to B 구조,L3 Reading
66,공통영어2,1,Common English 2,3,deal with,~을 처리하다,You will become able to deal with big challenges.,verb + prep,high,반복 노출해야 할 핵심 chunk,L3 Reading
67,공통영어2,1,Common English 2,3,mess up,망치다,I might mess up all my lines.,verb + particle,mid,구어체 말하기 표현,L3 Speaking
68,공통영어2,1,Common English 2,3,come up with,~을 생각해내다,We can come up with solutions together.,verb + particle + prep,high,쓰기·말하기 고빈도 표현,L3 Speaking
69,공통영어2,1,Common English 2,3,work out,잘 풀리다; 해결되다,Things will work out for the best.,verb + particle,mid,긍정적 사고 표현,L3 Speaking
70,공통영어2,1,Common English 2,4,make a difference,변화를 만들다,A young girl can make a difference in the world.,verb phrase,mid,창의성·사회 변화 주제 핵심,L4 Get Ready
71,공통영어2,1,Common English 2,4,result in,~을 초래하다,"A drought hit the village, resulting in food shortages.",verb + prep,high,원인-결과 독해 chunk,L4 Listening
72,공통영어2,1,Common English 2,4,be based on,~에 근거하다,It was invented based on personal experience.,be + pp + prep,mid,수동태 chunk,L4 Listening
73,공통영어2,1,Common English 2,4,slip off,미끄러져 떨어지다,My school bag slips off the back of my chair.,verb + particle,mid,생활 문제 해결 표현,L4 Express Ideas
74,공통영어2,1,Common English 2,4,come up with,~을 생각해내다,Come up with creative ideas like this.,verb + particle + prep,high,아이디어 제안 활동 핵심,L4 Express Ideas
75,공통영어2,1,Common English 2,4,be attached to,~에 부착되다,The device can be attached to the top of the stove.,be + pp + prep,mid,제품 설명 지문에 유용,L4 Writing
76,공통영어2,1,Common English 2,4,stand for,~을 의미하다,The letter G stands for ger.,verb + prep,mid,약어·기호 설명 표현,L4 Writing
77,공통영어2,1,Common English 2,4,turn into,~로 변하다,The package turns into a soccer ball.,verb + prep,mid,변화 표현,L4 Writing
78,공통영어2,1,Common English 2,4,point out,지적하다; 강조하다,Point out the importance of the product.,verb + particle,mid,쓰기 전략 표현,L4 Writing
79,구동사,1,Phrasal Verbs Book,,break down,"파괴하다, 고장나다, 분류하다",,phrasal verb,basic,"breakdown = 고장, 분해",Book extract
80,구동사,1,Phrasal Verbs Book,,break into,"침입하다, 갑자기 ~하다",,phrasal verb,basic,intrude,Book extract
81,구동사,1,Phrasal Verbs Book,,break out,"(전쟁·화재가) 발생하다, (여드름이) 나오다",,phrasal verb,basic,outbreak = (전쟁·화재의) 발생,Book extract
82,구동사,1,Phrasal Verbs Book,,bring about,"야기하다, 초래하다",,phrasal verb,basic,give rise to + 명사; cause; lead to + 명사,Book extract
83,구동사,1,Phrasal Verbs Book,,bring up,양육하다; (문제를) 제기하다,,phrasal verb,basic,raise; nurture; pose; raise,Book extract
84,구동사,1,Phrasal Verbs Book,,call down,꾸짖다,,phrasal verb,basic,scold,Book extract
85,구동사,1,Phrasal Verbs Book,,call off,취소하다,,phrasal verb,basic,cancel,Book extract
86,구동사,1,Phrasal Verbs Book,,call on,"요구하다, (사람을) 방문하다",,phrasal verb,basic,call at = (장소를) 방문하다,Book extract
87,구동사,1,Phrasal Verbs Book,,carry on,계속 ~하다,,phrasal verb,basic,go on; keep on; continue,Book extract
88,구동사,1,Phrasal Verbs Book,,carry out,수행하다,,phrasal verb,basic,perform; implement; fulfill,Book extract
89,구동사,1,Phrasal Verbs Book,,come across,우연히 만나다,,phrasal verb,basic,run into; bump into; encounter,Book extract
90,구동사,1,Phrasal Verbs Book,,come by,얻다,,phrasal verb,basic,go by = (시간이) 경과하다; drop by = 들르다,Book extract
91,구동사,1,Phrasal Verbs Book,,come down with,(병에) 걸리다,,phrasal verb,basic,contract,Book extract
92,구동사,1,Phrasal Verbs Book,,come up with,"~을 생각해 내다, 제안하다",,phrasal verb,basic,break up with = ~와 결별하다,Book extract
93,구동사,1,Phrasal Verbs Book,,give off,(냄새·증기를) 발산하다,,phrasal verb,basic,emit,Book extract
94,구동사,1,Phrasal Verbs Book,,give out,배포하다,,phrasal verb,basic,hand out; distribute,Book extract
95,구동사,1,Phrasal Verbs Book,,go over,복습하다,,phrasal verb,basic,review,Book extract
96,구동사,1,Phrasal Verbs Book,,go through,"겪다, 경험하다",,phrasal verb,basic,undergo; experience,Book extract
97,구동사,1,Phrasal Verbs Book,,hand in,제출하다,,phrasal verb,basic,turn in; give in; submit,Book extract
98,구동사,1,Phrasal Verbs Book,,hand over,"건네주다, 인계하다",,phrasal verb,basic,take over = 인계받다,Book extract
99,구동사,1,Phrasal Verbs Book,,hear from,~로부터 소식을 듣다 (직접적),,phrasal verb,basic,hear of = ~에 관해 소식을 듣다 (간접적),Book extract
100,구동사,1,Phrasal Verbs Book,,keep out,~을 못 들어오게 하다,,phrasal verb,basic,rule out = 배제하다,Book extract
101,구동사,1,Phrasal Verbs Book,,keep up with,~에 뒤처지지 않다,,phrasal verb,basic,catch up with = ~을 따라잡다,Book extract
102,구동사,1,Phrasal Verbs Book,,look into,조사하다,,phrasal verb,basic,investigate,Book extract
103,구동사,1,Phrasal Verbs Book,,look up,(단어를) 찾다,,phrasal verb,basic,look up a word in a dictionary,Book extract
104,구동사,1,Phrasal Verbs Book,,make out,"(서류를) 작성하다, 이해하다",,phrasal verb,basic,"fill out = (서류에) 기입하다, 채우다",Book extract
105,구동사,1,Phrasal Verbs Book,,make up,"구성하다, 화해하다, 보상하다",,phrasal verb,basic,make up for = 보상하다 (= compensate for),Book extract
106,구동사,1,Phrasal Verbs Book,,pick out,선택하다,,phrasal verb,basic,single out = 선발하다,Book extract
107,구동사,1,Phrasal Verbs Book,,pick up,"차에 태우다, 향상시키다, 배우다",,phrasal verb,basic,"take up = (시간·장소를) 차지하다, (일을) 시작하다",Book extract
108,구동사,1,Phrasal Verbs Book,,put off,연기하다,,phrasal verb,basic,postpone; delay; procrastinate,Book extract
109,구동사,1,Phrasal Verbs Book,,put on,"(옷·모자 등을) 입다; (체중이) 증가하다, 상영하다, (수·양을) 늘리다",,phrasal verb,basic,wear,Book extract
110,구동사,1,Phrasal Verbs Book,,put up with,"참다, 견디다",,phrasal verb,basic,bear; tolerate; stand; endure; persevere,Book extract
111,구동사,1,Phrasal Verbs Book,,stand for,"~을 나타내다, 상징하다",,phrasal verb,basic,represent,Book extract
112,구동사,1,Phrasal Verbs Book,,stand out,눈에 띄다,,phrasal verb,basic,"outstanding = 현저한, 뛰어난",Book extract
113,구동사,1,Phrasal Verbs Book,,stand up for,"지지하다, 옹호하다",,phrasal verb,basic,stand up to + 명사 = ~에 맞서다,Book extract
114,구동사,1,Phrasal Verbs Book,,take off,"(의복을) 벗다, 이륙하다",,phrasal verb,basic,land; touch down = 착륙하다,Book extract
115,구동사,1,Phrasal Verbs Book,,take on,떠맡다,,phrasal verb,basic,undertake,Book extract
116,구동사,1,Phrasal Verbs Book,,turn down,거절하다,,phrasal verb,basic,decline; refuse; reject,Book extract
117,구동사,1,Phrasal Verbs Book,,turn out,~임이 판명되다,,phrasal verb,basic,prove,Book extract
118,구동사,1,Phrasal Verbs Book,,turn up,나타나다,,phrasal verb,basic,show up,Book extract
