source_order,section,grade,textbook,lesson,keyword,collocation,meaning_ko,example_sentence,type,difficulty,usefulness,note
37,공통영어1,1,Common English 1,2,collect,collect coconut shells,코코넛 껍질을 모으다,They collect coconut shells to use them as a shelter.,verb+noun,basic,reading,도구 사용
38,공통영어1,1,Common English 1,2,use,use them as a shelter,그것을 피난처로 사용하다,They use coconut shells as a shelter.,verb+noun+prep,mid,reading,기능 표현
39,공통영어1,1,Common English 1,3,learn,learn diverse languages,다양한 언어를 배우다,Learning diverse languages is important.,verb+noun,basic,reading,언어 다양성
40,공통영어1,1,Common English 1,3,represent,represent cultures,문화를 나타내다,Languages represent the cultures of their speakers.,verb+noun,mid,reading,언어·문화
41,공통영어1,1,Common English 1,3,take,take a course,강좌를 수강하다,We decided to take a beginner course together.,verb+noun,basic,speaking,학습 계획
42,공통영어1,1,Common English 1,3,face,face a difficulty,어려움에 직면하다,Write about a difficulty you face when you learn a foreign language.,verb+noun,mid,writing,학습 성찰
43,공통영어1,1,Common English 1,3,expand,expand vocabulary,어휘를 확장하다,Listening to songs can help expand your vocabulary.,verb+noun,mid,reading,학습 전략
44,공통영어1,1,Common English 1,3,improve,improve pronunciation,발음을 향상시키다,Listening to songs improves pronunciation.,verb+noun,basic,speaking,학습 전략
45,공통영어1,1,Common English 1,3,enhance,enhance listening comprehension,듣기 이해를 향상시키다,Listening to songs enhances listening comprehension.,verb+noun,high,reading,학술 표현
46,공통영어1,1,Common English 1,3,respect,respect language diversity,언어 다양성을 존중하다,We need to respect language diversity.,verb+noun,mid,writing,핵심 주제
47,공통영어1,1,Common English 1,3,embrace,embrace diversity,다양성을 포용하다,"Embracing the diversity of English, we can build a more inclusive community.",verb+noun,high,reading,가치 표현
48,공통영어1,1,Common English 1,3,build,build an inclusive community,포용적인 공동체를 만들다,We can build a more inclusive community.,verb+noun,high,writing,사회 주제
49,공통영어1,1,Common English 1,3,promote,promote common understanding,공통 이해를 증진하다,We have to promote common understanding.,verb+noun,high,writing,학술 표현
50,공통영어1,1,Common English 1,3,work,work together,함께 일하다; 협력하다,We should work together to build a better future.,verb+adverb,basic,speaking,협동 표현
51,공통영어1,1,Common English 1,3,create,create a new one,새로운 것을 창조하다,"The musical was unique, blending different styles to create a new one.",verb+noun,basic,reading,창의 표현
52,공통영어1,1,Common English 1,3,cause,cause confusion,혼란을 일으키다,The unique usage of this word might cause confusion.,verb+noun,mid,reading,인과 표현
53,공통영어1,1,Common English 1,3,highlight,highlight diversity,다양성을 부각하다,It highlights the diversity of World Englishes.,verb+noun,high,reading,논리 표현
54,공통영어1,1,Common English 1,3,reflect,reflect identities,정체성을 반영하다,Words and phrases reflect the identities and experiences of users.,verb+noun,high,reading,학술 표현
55,공통영어1,1,Common English 1,3,gain,gain popularity worldwide,전 세계적으로 인기를 얻다,Their music gained popularity worldwide.,verb+noun+adv,mid,reading,K-culture
56,공통영어1,1,Common English 1,3,understand,understand words in context,문맥 속에서 단어를 이해하다,It can help you understand words in context.,verb+noun+prep,mid,app,앱 목표와 연결
57,공통영어1,1,Common English 1,4,experience,experience interactive art,대화형 예술을 경험하다,Have you ever experienced interactive art?,verb+noun,mid,speaking,예술·기술
58,공통영어1,1,Common English 1,4,respond,respond to steps,발걸음에 반응하다,The picture responded to my steps.,verb+prep+noun,mid,reading,상호작용
59,공통영어1,1,Common English 1,4,display,display artistic designs,예술적 디자인을 보여주다,Drone technologies are used to display artistic designs.,verb+noun,mid,reading,기술 활용
60,공통영어1,1,Common English 1,4,request,request explanation,설명을 요청하다,Students can request explanation about artworks.,verb+noun,basic,speaking,의사소통 기능
61,공통영어1,1,Common English 1,4,take,take a virtual tour,가상 투어를 하다,I took a virtual tour of the National Museum of Korea.,verb+noun,basic,speaking,디지털 체험
62,공통영어1,1,Common English 1,4,stand,stand out,두드러지다,One exhibit that stood out to me was the traditional Korean clothing exhibit.,phrasal verb,mid,reading,감상 표현
63,공통영어1,1,Common English 1,4,explore,explore virtual museums,가상 박물관을 탐험하다,I can’t wait to explore other virtual museums online.,verb+noun,basic,speaking,기대 표현
64,공통영어1,1,Common English 1,4,create,create artificial meat,인공 고기를 만들다,The chef used vegetables to create artificial meat.,verb+noun,mid,reading,AI/기술
65,공통영어1,1,Common English 1,4,distinguish,distinguish from real meat,진짜 고기와 구별하다,It was nearly impossible to distinguish it from real meat.,verb+prep+noun,high,reading,비교 표현
66,공통영어1,1,Common English 1,4,confirm,confirm a conclusion,결론을 확인하다,They confirmed that this was a genuine Rembrandt.,verb+noun,mid,reading,판단 표현
67,공통영어1,1,Common English 1,4,imitate,imitate styles,화풍을 모방하다,Mia studied the works of famous painters to imitate their styles.,verb+noun,mid,reading,예술 표현
68,공통영어1,1,Common English 1,4,challenge,challenge stereotypes,고정관념에 도전하다,The author urged readers to challenge stereotypes.,verb+noun,high,reading,비판적 사고
69,공통영어1,1,Common English 1,4,hold,hold copyright,저작권을 보유하다,The singer holds the copyright to all songs.,verb+noun,high,reading,법·예술
70,공통영어1,1,Common English 1,4,enable,enable learners to learn,학습자가 배우도록 가능하게 하다,The website enables you to learn digital art.,verb+object+toV,high,grammar,사역/가능 구조
71,공통영어1,1,Common English 1,4,encourage,encourage me to keep doing,계속하도록 격려하다,Joining a community would encourage me to keep drawing digital art.,verb+object+toV,high,grammar,동사 구조
72,공통영어1,1,Common English 1,4,generate,generate illustrations,삽화를 생성하다,Write prompts and generate illustrations for your story.,verb+noun,mid,project,AI 프로젝트
73,공통영어1,1,Common English 1,4,write,write prompts,프롬프트를 작성하다,Learn how to write prompts.,verb+noun,basic,project,AI 활용
74,공통영어2,1,Common English 2,1,communicate,communicate as much as before,이전만큼 소통하다,We don’t communicate as much as we used to due to smartphones.,verb+adverbial,mid,reading,디지털 생활
75,공통영어2,1,Common English 2,1,control,control phone use,휴대폰 사용을 조절하다,What will the boy do to control his phone use?,verb+noun,basic,speaking,디지털 습관
76,공통영어2,1,Common English 2,1,limit,limit screen time,화면 사용 시간을 제한하다,He will use an app to limit his screen time.,verb+noun,basic,speaking,생활 관리
77,공통영어2,1,Common English 2,1,hand over,hand over a phone,휴대폰을 넘겨주다,He may hand over his phone to his mother at night.,phrasal verb+noun,mid,speaking,구동사
78,공통영어2,1,Common English 2,1,remove,remove a digital footprint,디지털 발자국을 지우다,What digital footprint do you want to remove?,verb+noun,mid,reading,디지털 시민성
79,공통영어2,1,Common English 2,1,post,post on social media,소셜미디어에 게시하다,A friend posted a funny picture on social media.,verb+prep+noun,basic,speaking,생활 표현
80,공통영어2,1,Common English 2,1,manage,manage digital footprints,디지털 발자국을 관리하다,Why should we manage our digital footprints?,verb+noun,mid,reading,디지털 시민성
81,공통영어2,1,Common English 2,1,reveal,reveal privacy,사생활을 드러내다,Digital footprints reveal privacy.,verb+noun,high,reading,비판적 독해
82,공통영어2,1,Common English 2,1,determine,determine digital reputation,디지털 평판을 결정하다,They determine digital reputation.,verb+noun,high,reading,추상명사
83,공통영어2,1,Common English 2,1,stay up,stay up late,늦게까지 깨어 있다,I stay up late at night using my smartphone.,phrasal verb+adv,basic,speaking,나쁜 습관
84,공통영어2,1,Common English 2,1,mess,mess with sleep schedule,수면 일정을 망치다,It’s messing with my sleep schedule.,verb+prep+noun,mid,speaking,생활 표현
85,공통영어2,1,Common English 2,1,break,break a bad habit,나쁜 습관을 고치다,Could I ask you to help me find ways to break my bad habit?,verb+noun,mid,speaking,조언 요청
86,공통영어2,1,Common English 2,1,give,give it a try,시도해 보다,That sounds like a good idea. I’ll give it a try.,verb+phrase,basic,speaking,구어 표현
87,공통영어2,1,Common English 2,1,adjust,adjust privacy settings,개인정보 설정을 조정하다,Adjust your privacy settings.,verb+noun,mid,project,디지털 안전
88,공통영어2,1,Common English 2,1,limit,limit access,접근을 제한하다,Limit the access to your posts on social media.,verb+noun,mid,reading,디지털 안전
89,공통영어2,1,Common English 2,1,use,use strong passwords,강력한 비밀번호를 사용하다,Use strong passwords.,verb+noun,basic,speaking,안전 수칙
90,공통영어2,1,Common English 2,1,combine,combine letters and numbers,문자와 숫자를 결합하다,"Combine different letters, numbers, and symbols.",verb+noun,mid,reading,보안 표현
91,공통영어2,1,Common English 2,1,avoid,avoid unsafe websites,안전하지 않은 웹사이트를 피하다,Avoid unsafe websites.,verb+noun,basic,reading,안전 수칙
92,공통영어2,1,Common English 2,1,share,share important information,중요한 정보를 공유하다,Share important information only on secure websites.,verb+noun,basic,reading,안전 수칙
93,공통영어2,1,Common English 2,1,back up,be backed up with evidence,증거로 뒷받침되다,An argument needs to be backed up with evidence.,verb phrase+noun,high,reading,비판적 독해
94,공통영어2,1,Common English 2,1,manipulate,manipulate data,데이터를 조작하다,Some companies can manipulate data.,verb+noun,high,reading,가짜뉴스
95,공통영어2,1,Common English 2,1,mislead,mislead someone into thinking,~가 잘못 생각하게 하다,The advertisement might mislead you into thinking the product is natural.,verb+object+into+gerund,high,reading,비판적 독해
96,공통영어2,1,Common English 2,1,break,break prejudice,편견을 깨다,Communication can break the prejudice.,verb+noun,mid,writing,사회 주제
97,공통영어2,1,Common English 2,2,cope,cope with the climate crisis,기후 위기에 대처하다,What can we do to cope with the climate crisis?,verb+prep+noun,high,reading,기후 위기
98,공통영어2,1,Common English 2,2,take,take action,행동을 취하다,It’s time to take action.,verb+noun,basic,speaking,핵심 chunk
99,공통영어2,1,Common English 2,2,come,come to realize,깨닫게 되다,I came to realize how serious climate change is.,verb+toV,mid,speaking,성찰 표현
100,공통영어2,1,Common English 2,2,cope,cope with heat waves,폭염에 대처하다,The man takes action to cope with the heat wave.,verb+prep+noun,high,listening,기후 표현
101,공통영어2,1,Common English 2,2,adjust,adjust a schedule,일정을 조정하다,He adjusts his schedule to work during cooler hours.,verb+noun,mid,speaking,생활 전략
102,공통영어2,1,Common English 2,2,take,take breaks,휴식을 취하다,He takes breaks in cool areas.,verb+noun,basic,speaking,건강 관리
103,공통영어2,1,Common English 2,2,deal,deal with droughts,가뭄에 대처하다,Write about efforts to deal with droughts or floods.,verb+prep+noun,mid,writing,기후 위기
104,공통영어2,1,Common English 2,2,release,release into the atmosphere,대기 중으로 방출하다,Less water is released into the atmosphere.,verb+prep+noun,high,reading,과학 지문
105,공통영어2,1,Common English 2,2,meet,meet the goal,목표를 달성하다,It’s important to meet the goal.,verb+noun,mid,speaking,목표 표현
106,공통영어2,1,Common English 2,2,protect,protect life,생명을 보호하다,It’s important to meet the goal to protect all life on this planet.,verb+noun,basic,writing,환경 가치
107,공통영어2,1,Common English 2,2,expect,expect heavier rainfalls,더 많은 강우를 예상하다,We can expect heavier rainfalls and stronger storms.,verb+noun,mid,reading,기후 예측
108,공통영어2,1,Common English 2,2,solve,solve environmental issues,환경 문제를 해결하다,Plan an Eco-Life Challenge to solve environmental issues.,verb+noun,basic,project,환경 프로젝트
109,공통영어2,1,Common English 2,2,turn off,turn off lights,불을 끄다,How about turning off lights when they are not needed?,phrasal verb+noun,basic,speaking,실천 표현
110,공통영어2,1,Common English 2,2,grow,grow your own food,직접 식품을 재배하다,I’d like to present my plan to grow my own food at home.,verb+noun,basic,speaking,환경 실천
111,공통영어2,1,Common English 2,2,use,use fewer resources,더 적은 자원을 사용하다,I will be able to enjoy fresher foods and use fewer resources.,verb+noun,mid,speaking,환경 표현
112,공통영어2,1,Common English 2,2,emphasize,emphasize that,~을 강조하다,I’d like to emphasize that a small action is a first step.,verb+that clause,mid,speaking,의견 강조
113,공통영어2,1,Common English 2,2,reduce,reduce packaging waste,포장 폐기물을 줄이다,A refill station reduces packaging waste.,verb+noun,mid,reading,환경 표현
114,공통영어2,1,Common English 2,2,support,support eco-friendly materials,친환경 재료를 지지하다,A greensumer supports eco-friendly materials and production methods.,verb+noun,high,reading,환경 소비
115,공통영어2,1,Common English 2,2,reduce,reduce environmental impact,환경 영향을 줄이다,It is a good way of reducing our environmental impact.,verb+noun,high,speaking,환경 표현
116,공통영어2,1,Common English 2,2,find,find water,물을 찾다,The roads are full of cars leaving the state to find water.,verb+noun,basic,reading,기후 소설
117,공통영어2,1,Common English 2,2,return,return the favor,호의를 갚다,Maybe you could return the favor and share a few bottles with me.,verb+noun,mid,reading,관용 표현
118,공통영어2,1,Common English 2,2,share,share a few bottles,몇 병을 나누다,Could you share a few bottles with me?,verb+noun,basic,reading,상황 표현
119,공통영어2,1,Common English 2,3,manage,manage stress,스트레스를 관리하다,Stress management is important.,verb+noun,basic,speaking,도전과 회복
120,공통영어2,1,Common English 2,3,create,create a study plan,학습 계획을 세우다,Creating a study plan is one strategy.,verb+noun,basic,speaking,학습 전략
121,공통영어2,1,Common English 2,3,get,get exercise,운동하다,Getting exercise can help manage stress.,verb+noun,basic,speaking,건강 표현
122,공통영어2,1,Common English 2,3,turn,turn failure into success,실패를 성공으로 바꾸다,The lecture explains strategies to turn failure into success.,verb+noun+prep+noun,high,reading,성장 마인드셋
123,공통영어2,1,Common English 2,3,set,set goals,목표를 세우다,Set goals.,verb+noun,basic,speaking,학습 전략
124,공통영어2,1,Common English 2,3,learn,learn from failures,실패에서 배우다,We can learn from failures.,verb+prep+noun,basic,reading,핵심 주제
125,공통영어2,1,Common English 2,3,face,face challenges,도전에 직면하다,Quotes emphasize learning from experiences when facing challenges.,verb+noun,mid,reading,도전 표현
126,공통영어2,1,Common English 2,3,discuss,discuss worries,걱정을 의논하다,Discussing worries with others can be beneficial.,verb+noun,basic,speaking,감정 표현
127,공통영어2,1,Common English 2,3,provide,provide support and empathy,지지와 공감을 제공하다,Others can provide support and empathy.,verb+noun,mid,speaking,상담 표현
128,공통영어2,1,Common English 2,3,mess up,mess up lines,대사를 망치다,I might mess up all my lines in my speech.,phrasal verb+noun,mid,speaking,구어 표현
129,공통영어2,1,Common English 2,3,make,make mistakes,실수하다,Even experienced speakers make mistakes.,verb+noun,basic,speaking,격려 표현
130,공통영어2,1,Common English 2,3,affect,affect ability,능력에 영향을 미치다,Our mindset affects our ability to deal with challenges.,verb+noun,mid,reading,인과 표현
131,공통영어2,1,Common English 2,3,deal,deal with challenges,도전에 대처하다,Mindset affects our ability to deal with life’s challenges.,verb+prep+noun,high,reading,핵심 chunk
132,공통영어2,1,Common English 2,3,stay,stay in comfort zone,안전지대에 머물다,They stay in their comfort zone.,verb+prep+noun,mid,reading,심리 표현
133,공통영어2,1,Common English 2,3,reject,reject constructive criticism,건설적 비판을 거부하다,They tend to reject constructive criticism.,verb+noun,high,reading,성장 마인드셋
134,공통영어2,1,Common English 2,3,lose,lose confidence,자신감을 잃다,Other people’s success makes them lose confidence.,verb+noun,basic,reading,감정 표현
135,공통영어2,1,Common English 2,3,accept,accept challenges,도전을 받아들이다,People with a growth mindset accept life’s challenges.,verb+noun,mid,reading,성장 마인드셋
136,공통영어2,1,Common English 2,3,ask,ask for advice,조언을 구하다,They can ask for advice.,verb+prep+noun,basic,speaking,학습 전략
137,공통영어2,1,Common English 2,3,be inspired,be inspired by success,성공에서 영감을 받다,They can be inspired by other people’s success.,verb phrase+prep,mid,reading,성장 표현
138,공통영어2,1,Common English 2,3,overcome,overcome crises,위기를 극복하다,A growth mindset helps people overcome crises.,verb+noun,mid,reading,핵심 어휘
139,공통영어2,1,Common English 2,3,develop,develop a growth mindset,성장 마인드셋을 기르다,We can develop a growth mindset through practice.,verb+noun,high,reading,핵심 주제
140,공통영어2,1,Common English 2,3,cause,cause stress,스트레스를 유발하다,Too much work can cause a lot of stress.,verb+noun,basic,reading,인과 표현
141,공통영어2,1,Common English 2,3,relieve,relieve stress,스트레스를 완화하다,Exercise can relieve stress.,verb+noun,basic,speaking,건강 표현
142,공통영어2,1,Common English 2,3,embrace,embrace new technology,새로운 기술을 받아들이다,Some people might be slow to embrace new technology.,verb+noun,high,reading,변화 수용
143,공통영어2,1,Common English 2,4,make,make a difference,변화를 만들다,A young girl can make a difference in the world.,verb+noun,mid,speaking,창의·사회
144,공통영어2,1,Common English 2,4,change,change the world,세상을 바꾸다,"With curiosity and drive, anyone can change the world.",verb+noun,basic,speaking,동기 표현
145,공통영어2,1,Common English 2,4,detect,detect the time,시간을 감지하다,The device detects the time.,verb+noun,mid,reading,발명품
146,공통영어2,1,Common English 2,4,be based,be based on experience,경험에 기반하다,It was invented based on the inventor’s personal experience.,verb phrase+prep,mid,reading,논리 표현
147,공통영어2,1,Common English 2,4,make,make a windmill,풍차를 만들다,William learned how to make a windmill.,verb+noun,basic,reading,발명
148,공통영어2,1,Common English 2,4,collect,collect waste items,폐품을 모으다,He collected waste items.,verb+noun,basic,reading,창의적 해결
149,공통영어2,1,Common English 2,4,produce,produce electricity,전기를 생산하다,His windmill could produce electricity.,verb+noun,mid,reading,과학 표현
150,공통영어2,1,Common English 2,4,pump,pump water,물을 퍼 올리다,The windmill could pump water.,verb+noun,mid,reading,과학 표현
151,공통영어2,1,Common English 2,4,solve,solve a problem,문제를 해결하다,Write about the way William solved the problem.,verb+noun,basic,writing,핵심 표현
152,공통영어2,1,Common English 2,4,express,express possibility,가능성을 표현하다,Students practice expressions of possibility.,verb+noun,basic,speaking,의사소통 기능
153,공통영어2,1,Common English 2,4,make,make a suggestion,제안하다,Students learn how to make a suggestion.,verb+noun,basic,speaking,의사소통 기능
154,공통영어2,1,Common English 2,4,come up,come up with creative ideas,창의적인 아이디어를 생각해 내다,How about making life more convenient by coming up with creative ideas?,phrasal verb+prep+noun,high,speaking,창의 표현
155,공통영어2,1,Common English 2,4,stay,stay focused,집중을 유지하다,This allows students to attend class comfortably and stay focused.,verb+adj,mid,reading,학습 표현
156,공통영어2,1,Common English 2,4,attend,attend class,수업에 참여하다,Students can attend class comfortably.,verb+noun,basic,speaking,학교생활
157,공통영어2,1,Common English 2,4,prevent,prevent them from slipping off,미끄러져 떨어지는 것을 막다,It will prevent bags from slipping off.,verb+object+from+gerund,high,reading,동사 구조
158,공통영어2,1,Common English 2,4,improve,improve community life,공동체 삶을 개선하다,The story is about improving community life.,verb+noun,mid,reading,사회 주제
