grade,day,prefix,meaning,word,word_meaning,example_sentence,root_family,difficulty,quiz_question,quiz_answer,app_tab,book_order,day_label,section_order_in_day,prefix_meaning,etymology_note,example_korean,related_words
1,1,pro-,"앞으로, 앞서(forward, ahead), ~을 위한(for)",produce,"생산하다, 낳다, 배출하다, 제작하다 n. 농작물, 생산품",The factory produces 100 cars per hour.,produce|productive|productivity|product|production,low,What does produce mean?,"생산하다, 낳다, 배출하다, 제작하다 n. 농작물, 생산품",etymology,11,DAY 01,2,"앞으로, 앞서(forward, ahead), ~을 위한(for)","pro(= forward) + duce(= bring, lead) → 앞으로 내놓다[이끌어 내다]",그 공장은 한 시간에 100대의 차를 생산한다.,
1,1,pro-,"앞으로, 앞서(forward, ahead), ~을 위한(for)",prospect,"전망, 예상, 가망 v. 탐사하다",Job prospects for graduates don’ look good.,prospect|prospective,low,What does prospect mean?,"전망, 예상, 가망 v. 탐사하다",etymology,12,DAY 01,2,"앞으로, 앞서(forward, ahead), ~을 위한(for)",pro(= forward) + spect(= look at) → 앞을 내다보다,졸업자들의 취업 전망이 좋아 보이지 않는다.,
1,1,pro-,"앞으로, 앞서(forward, ahead), ~을 위한(for)",provide,"제공하다, 공급하다, 대비하다",Our school provided the band with new uniforms.,provide|provision,low,What does provide mean?,"제공하다, 공급하다, 대비하다",etymology,13,DAY 01,2,"앞으로, 앞서(forward, ahead), ~을 위한(for)",pro(= forward) + vide(= see) → 앞을 미리 보다,우리 학교는 밴드에게 새로운 유니폼을 제공했다.,
1,1,pro-,"앞으로, 앞서(forward, ahead), ~을 위한(for)",promote,"촉진하다, 장려하다, 승진시키다, 홍보하다",A balanced diet promotes good health.,promote|promotion,low,What does promote mean?,"촉진하다, 장려하다, 승진시키다, 홍보하다",etymology,14,DAY 01,2,"앞으로, 앞서(forward, ahead), ~을 위한(for)",pro(= forward) + mote(=move) → 앞으로 움직이다,균형 잡힌 식사는 건강을 촉진한다.,
1,1,pro-,"앞으로, 앞서(forward, ahead), ~을 위한(for)",prosper,"번창하다, 번영하다",He is expecting his business to prosper.,prosper|prosperous|prosperity,low,What does prosper mean?,"번창하다, 번영하다",etymology,15,DAY 01,2,"앞으로, 앞서(forward, ahead), ~을 위한(for)",pro(= forward) + sper(= hope) → 희망을 갖고 앞으로 나아가다,그는 자신의 사업이 번창할 것이라고 기대하고 있다.,thrive|flourish
1,1,pro-,"앞으로, 앞서(forward, ahead), ~을 위한(for)",prohibit,"금지하다, ~하지 못하게 하다",Smoking is strictly prohibited inside the building.,prohibit|prohibition,low,What does prohibit mean?,"금지하다, ~하지 못하게 하다",etymology,16,DAY 01,2,"앞으로, 앞서(forward, ahead), ~을 위한(for)",pro(= forward) + hibit(= hold) → 앞에서 붙들다 → 가로막다,건물 안에서 흡연은 엄격히 금지된다.,forbid|ban
1,1,pro-,"앞으로, 앞서(forward, ahead), ~을 위한(for)",prophesy,"예언하다, 예측하다",History books report that he prophesied his own death.,prophesy|prophecy|prophet,low,What does prophesy mean?,"예언하다, 예측하다",etymology,17,DAY 01,2,"앞으로, 앞서(forward, ahead), ~을 위한(for)",pro(= forward) + phesy(= speak) → 앞선 것을 말하다,역사책에 그가 자신의 죽음을 예언했다는 것이 나와 있다.,
1,1,pro-,"앞으로, 앞서(forward, ahead), ~을 위한(for)",proportion,"비율, 부분",A large proportion of the elderly live alone.,proportion|proportionate,low,What does proportion mean?,"비율, 부분",etymology,18,DAY 01,2,"앞으로, 앞서(forward, ahead), ~을 위한(for)",pro(= for) + port(= part) + ion(접사) → 각자의 몫에 관한 것,많은 비율의 노인들이 혼자 산다.,
1,1,fore-,"이전에, 앞선(before)",forefather,"조상, 선조",Five hundred years ago our forefathers established a new nation.,forefather,low,What does forefather mean?,"조상, 선조",etymology,19,DAY 01,3,"이전에, 앞선(before)",fore(= before) + father → 아버지보다 훨씬 앞에 살았던 사람들,500년 전에 우리의 선조들이 새로운 국가를 세웠다.,ancestor|predecessor
1,1,fore-,"이전에, 앞선(before)",foremost,"가장 중요한, 맨 앞에 위치한",Safety is our foremost concern.,foremost,low,What does foremost mean?,"가장 중요한, 맨 앞에 위치한",etymology,20,DAY 01,3,"이전에, 앞선(before)",fore(= before) + most(접사) → 가장 앞에 있는,안전이 우리의 가장 중요한 관심사이다.,
1,1,fore-,"이전에, 앞선(before)",forehead,이마,The kid kissed her on the forehead.,forehead,low,What does forehead mean?,이마,etymology,21,DAY 01,3,"이전에, 앞선(before)",fore(= before) + head → 머리의 앞쪽,그 아이는 그녀의 이마에 뽀뽀를 했다.,
1,1,fore-,"이전에, 앞선(before)",foresee,"예견하다, ~일 것이라 생각하다",No one can foresee what will happen in the future.,foresee|oreseeable|foresight,low,What does foresee mean?,"예견하다, ~일 것이라 생각하다",etymology,22,DAY 01,3,"이전에, 앞선(before)",fore(= before) + see → 앞을 내다보다,미래에 어떤 일이 벌어질지 아무도 예견할 수 없다.,
1,1,fore-,"이전에, 앞선(before)",foretell,예언하다,Everything happened as Peter foretold.,foretell|foreteller,low,What does foretell mean?,예언하다,etymology,23,DAY 01,3,"이전에, 앞선(before)",fore(= before) + tell → 앞일에 대해 말하다,Peter가 예언한 대로 모든 일이 일어났다.,
1,1,fore-,"이전에, 앞선(before)",foreman,"작업반장, 현장 감독",He was working as a foreman at a building site.,foreman,low,What does foreman mean?,"작업반장, 현장 감독",etymology,24,DAY 01,3,"이전에, 앞선(before)",fore(= before) + man → 일을 할 때 다른 사람 앞에서 이끄는 사람,그는 건설 현장의 감독으로 일하고 있었다.,
1,1,fore-,"이전에, 앞선(before)",forefront,"선두, 가장 중요한 위치",Our company is at the forefront of research in this area.,forefront,low,What does forefront mean?,"선두, 가장 중요한 위치",etymology,25,DAY 01,3,"이전에, 앞선(before)",fore(= before) + front(= forehead: 이마) → 이마보다 앞에 있는 것,우리 회사는 이 분야의 연구에서 선두에 있다.,
1,1,post-,뒤에(after),posterity,"후세, 후대",Posterity will remember him as a hero.,posterity,low,What does posterity mean?,"후세, 후대",etymology,26,DAY 01,4,뒤에(after),post(er)(= posterus: coming after) + ity(접사) → 나중에 오는 것,후세는 그를 영웅으로 기억할 것이다.,
1,1,post-,뒤에(after),postmodern,"포스트모던의, 최첨단의, 최신 유행의",We had our hotel done over in a postmodern style.,postmodern,low,What does postmodern mean?,"포스트모던의, 최첨단의, 최신 유행의",etymology,27,DAY 01,4,뒤에(after),post(= coming after) + modern → 현대보다 뒤에 온,우리는 호텔을 포스트모던 양식으로 단장했다.,
1,1,post-,뒤에(after),postwar,전후의,The postwar birth rate increased rapidly.,postwar,low,What does postwar mean?,전후의,etymology,28,DAY 01,4,뒤에(after),post(= coming after) + war → 전쟁 후의,전후의 출생률은 빠르게 증가했다.,
1,1,extra-/extro-,"밖으로(outside), 넘어서(beyond)",extracurricular,"정규 교과 외의, 과외의",What extracurricular activities were you involved with at school?,extracurricular,mid,What does extracurricular mean?,"정규 교과 외의, 과외의",etymology,67,DAY 01,5,"밖으로(outside), 넘어서(beyond)",extra(= outside) + curricul(um)(= course) + ar(접사) → 교과과정 밖의,너는 학교에서 어떤 과외 활동을 했니?,
1,1,extra-/extro-,"밖으로(outside), 넘어서(beyond)",extraordinary,"비범한, 기이한",There is something extraordinary about him.,extraordinary,mid,What does extraordinary mean?,"비범한, 기이한",etymology,68,DAY 01,5,"밖으로(outside), 넘어서(beyond)",extra(= outside) + ordin(= order) + ary(접사) → 순서 밖에 있는 → 비범한,그에 대해서는 비범한 뭔가가 있다.,
1,1,extra-/extro-,"밖으로(outside), 넘어서(beyond)",extraterrestrial,"외계인, 우주인 a. 지구 밖 생물체의, 외계의",Read this entertaining book about extraterrestrials and UFOs.,extraterrestrial,mid,What does extraterrestrial mean?,"외계인, 우주인 a. 지구 밖 생물체의, 외계의",etymology,69,DAY 01,5,"밖으로(outside), 넘어서(beyond)",extra(= outside) + terrestri(= of the earth) + al(접사) → 지구 밖에 있는 생명체,외계인과 UFO에 관한 이 흥미로운 책을 읽어 보세요.,
1,1,extra-/extro-,"밖으로(outside), 넘어서(beyond)",extravagant,"낭비하는, 사치스러운",Would it be too extravagant to buy both?,extravagant|extravagance,low,What does extravagant mean?,"낭비하는, 사치스러운",etymology,70,DAY 01,5,"밖으로(outside), 넘어서(beyond)",extra(= beyond) + vag(=wander: 방랑하다) + ant(접사) → 방랑하는 것 이상의,둘 다 사는 것은 너무 낭비하는 걸까?,
1,1,extra-/extro-,"밖으로(outside), 넘어서(beyond)",extrovert,외향적인 n. 외향적인 사람,My mom has an extrovert personality.,extrovert,low,What does extrovert mean?,외향적인 n. 외향적인 사람,etymology,71,DAY 01,5,"밖으로(outside), 넘어서(beyond)",extro(= outside) + vert(= vertere: turn) → 밖으로 향하는,우리 엄마는 외향적인 성격이다.,
1,2,in-,"안에(inside), 안으로(into), 안을 향해(inward)",inborn,"타고난, 천부적인",My sister has an inborn talent for music.,inborn,low,What does inborn mean?,"타고난, 천부적인",etymology,29,DAY 02,1,"안에(inside), 안으로(into), 안을 향해(inward)",in(= inside) + born(= boren: brought forth) → 안에 갖고 있는,우리 누나는 음악에 대한 타고난 재능이 있다.,
1,2,in-,"안에(inside), 안으로(into), 안을 향해(inward)",inbound,"본국으로 들어가는, 도착하는","Due to the storm, the inbound flight has been delayed.",inbound,low,What does inbound mean?,"본국으로 들어가는, 도착하는",etymology,30,DAY 02,1,"안에(inside), 안으로(into), 안을 향해(inward)",in(= inside) + bound(= tied) → 안에 묶인,폭풍 때문에 도착하는 비행기가 지연되었다.,
1,2,in-,"안에(inside), 안으로(into), 안을 향해(inward)",income,"수입, 소득","She has an income of $3,000 a month.",income,low,What does income mean?,"수입, 소득",etymology,31,DAY 02,1,"안에(inside), 안으로(into), 안을 향해(inward)",in(= into) + come → 안으로 들어오는 것,그녀는 한 달에 3천 달러의 수입이 있다.,
1,2,in-,"안에(inside), 안으로(into), 안을 향해(inward)",indent,"들여 쓰다, 움푹 들어가게 하다","When I begin a new paragraph, I indent two spaces.",indent,low,What does indent mean?,"들여 쓰다, 움푹 들어가게 하다",etymology,32,DAY 02,1,"안에(inside), 안으로(into), 안을 향해(inward)",in(= inside) + dent(= depression in a surface: 표면에 움푹 들어 간 곳) → 안으로 움푹 들어가게 하다,"새 문단을 시작할 때, 나는 두 칸을 들여 쓴다.",
1,2,in-,"안에(inside), 안으로(into), 안을 향해(inward)",infect,"감염시키다, 감염되다, 영향을 주다",Anyone with a bad cold can infect the people around them.,infect|infection|infectious,low,What does infect mean?,"감염시키다, 감염되다, 영향을 주다",etymology,33,DAY 02,1,"안에(inside), 안으로(into), 안을 향해(inward)","in(= inside) + fect(= facere: make, perform) → 안에서 작동하게 하다",독감에 걸린 사람은 누구나 주위의 사람들을 감염시킬 수 있다.,
1,2,in-,"안에(inside), 안으로(into), 안을 향해(inward)",inland,"내륙의, 오지의 ad. 내륙으로, 오지로",Canberra is Australia’s largest inland city.,inland,low,What does inland mean?,"내륙의, 오지의 ad. 내륙으로, 오지로",etymology,34,DAY 02,1,"안에(inside), 안으로(into), 안을 향해(inward)",in(= inside) + land → 안쪽 땅의,캔버라는 호주의 가장 큰 내륙 도시이다.,
1,2,in-,"안에(inside), 안으로(into), 안을 향해(inward)",inner,"내부의, 안쪽의, (감정 등이) 내밀한",There is a rose garden in the inner court.,inner,low,What does inner mean?,"내부의, 안쪽의, (감정 등이) 내밀한",etymology,35,DAY 02,1,"안에(inside), 안으로(into), 안을 향해(inward)",in(n)(= inside) + er(접사) → 더 안의,안쪽 마당에 장미 정원이 있다.,
1,2,in-,"안에(inside), 안으로(into), 안을 향해(inward)",insert,끼워 넣다,Insert the CD into the CD drive of your computer.,insert,low,What does insert mean?,끼워 넣다,etymology,36,DAY 02,1,"안에(inside), 안으로(into), 안을 향해(inward)",in(= inside) + sert(= serere: join together) → 안에 묶다,컴퓨터의 CD 드라이브에 CD를 넣어라.,
1,2,in-,"안에(inside), 안으로(into), 안을 향해(inward)",insight,"통찰(력), 이해",She had an insight into human nature.,insight,low,What does insight mean?,"통찰(력), 이해",etymology,37,DAY 02,1,"안에(inside), 안으로(into), 안을 향해(inward)",in(= inside) + sight(= vision) → 내면의 시야,그녀는 인간의 본성에 대한 통찰력을 갖고 있었다.,
1,2,in-,"안에(inside), 안으로(into), 안을 향해(inward)",install,설치하다,Purchase and install a new product.,install|installation,low,What does install mean?,설치하다,etymology,38,DAY 02,1,"안에(inside), 안으로(into), 안을 향해(inward)",in(= inside) + stall(= standing place) → 안에 두다,새 제품을 구입해서 설치하십시오.,
1,2,in-,"안에(inside), 안으로(into), 안을 향해(inward)",intake,"섭취(량), 유입(량), (입학, 채용 등의) 인원 수",Double your exercise and cut your food intake in half.,intake,low,What does intake mean?,"섭취(량), 유입(량), (입학, 채용 등의) 인원 수",etymology,39,DAY 02,1,"안에(inside), 안으로(into), 안을 향해(inward)",in(= inside) + take → 안으로 섭취하는 것,운동을 두 배로 하고 음식 섭취를 절반으로 줄여라.,
1,2,in-,"안에(inside), 안으로(into), 안을 향해(inward)",interior,"안쪽[내부]의, 안에 있는 n. 실내, 안쪽",We are going to work on the interior walls.,interior,low,What does interior mean?,"안쪽[내부]의, 안에 있는 n. 실내, 안쪽",etymology,40,DAY 02,1,"안에(inside), 안으로(into), 안을 향해(inward)",in(ter)(= inward) + ior(접사) → 더 안의,우리는 실내의 벽에 대한 작업을 할 것이다.,interior|exterior
1,2,in-,"안에(inside), 안으로(into), 안을 향해(inward)",invest,"투자하다, 투입하다, 임명하다",I won’t invest all of my money in stocks.,invest|investment|prophecy|prophet,low,What does invest mean?,"투자하다, 투입하다, 임명하다",etymology,41,DAY 02,1,"안에(inside), 안으로(into), 안을 향해(inward)",in(= inside) + vest(= vestire: dress) → 관청에서 정장을 입다,나는 내가 가진 모든 돈을 주식에 투자하지는 않을 것이다.,
1,2,in-,"안에(inside), 안으로(into), 안을 향해(inward)",inward,"마음속의, 내부를 향한 ad. 내부를 향하여",Looking into the eyes is the start of an inward journey.,inward,low,What does inward mean?,"마음속의, 내부를 향한 ad. 내부를 향하여",etymology,42,DAY 02,1,"안에(inside), 안으로(into), 안을 향해(inward)",in(= inside) + ward(= toward) → 안을 향한,눈을 들여다보는 것은 마음속 여행의 시작이다.,
1,2,inter-,사이에(between),interact,상호작용하다,We interact with other people every day.,interact|interaction,low,What does interact mean?,상호작용하다,etymology,43,DAY 02,2,사이에(between),inter(= between) + act → 서로 간에 작용하다,우리는 매일 다른 사람들과 상호작용한다.,
1,2,inter-,사이에(between),interbreed,"이종 교배시키다[하다], 잡종을 만들다",The fish began to interbreed with other wild species.,interbreed,low,What does interbreed mean?,"이종 교배시키다[하다], 잡종을 만들다",etymology,44,DAY 02,2,사이에(between),inter(= between) + breed(새끼를 낳다) → 서로 교배시키다,그 물고기들은 다른 야생종들과 이종 교배하기 시작했다.,
1,2,inter-,사이에(between),interdependent,"상호 의존의, 서로 의지하는",All living things are interdependent.,interdependent|interdependence,mid,What does interdependent mean?,"상호 의존의, 서로 의지하는",etymology,45,DAY 02,2,사이에(between),inter(= between) + de(= down) + pend(= hang) + ent(접사) → 서로 매달린,살아 있는 모든 것들은 상호 의존적이다.,
1,2,inter-,사이에(between),interfere,"간섭하다, 방해하다",Don’t interfere in my family problems.,interfere|interference,low,What does interfere mean?,"간섭하다, 방해하다",etymology,46,DAY 02,2,사이에(between),inter(= between) + fere(= ferire: strike) → 가운데에서 때리다,내 가족 문제에 간섭하지 마라.,
1,2,inter-,사이에(between),intermediate,"중급의, 중간의",I took an intermediate skiing class.,intermediate,low,What does intermediate mean?,"중급의, 중간의",etymology,47,DAY 02,2,사이에(between),inter(= between) + medi(=medius: middle) + ate(접사) → 중간에 있는,나는 중급 스키 강좌를 수강했다.,beginner|intermediate|advanced
1,2,inter-,사이에(between),intermission,"휴식 시간, 중단",There was a 15-minute intermission during the show.,intermission,low,What does intermission mean?,"휴식 시간, 중단",etymology,48,DAY 02,2,사이에(between),inter(= between) + mis(s)(= mittere: let go) + ion(접사) → 중간에 멈춤,쇼에서 15분의 휴식 시간이 있었다.,
1,2,inter-,사이에(between),interpersonal,대인관계의,She has good interpersonal skills.,interpersonal,mid,What does interpersonal mean?,대인관계의,etymology,49,DAY 02,2,사이에(between),inter(= between) + person + al(접사) → 사람 사이의,그녀는 좋은 대인관계 기술을 갖고 있다.,
1,2,inter-,사이에(between),interpret,"해석하다, 통역하다, 이해하다",You always interpret things in your own way.,interpret|interpretation|interpreter,low,What does interpret mean?,"해석하다, 통역하다, 이해하다",etymology,50,DAY 02,2,사이에(between),inter(= between) + pret(= per: sell) → 중간에서 팔다,너는 늘 일들을 네 방식대로 해석한다.,
1,2,inter-,사이에(between),intersection,"사거리, 교차점",Road signs have been placed at major intersections.,intersection,low,What does intersection mean?,"사거리, 교차점",etymology,51,DAY 02,2,사이에(between),inter(= between) + sect(= cut) + ion(접사) → 잘린 곳 사이의 공간,도로 표지판이 주요 사거리에 배치되었다.,
1,2,inter-,사이에(between),interval,"간격, 구간, 음정",There is an interval of 20 feet between columns.,interval,low,What does interval mean?,"간격, 구간, 음정",etymology,52,DAY 02,2,사이에(between),inter(= between) + val(=wall) → 중간에 있는 것,기둥 사이에 20피트 간격이 있다.,
1,2,inter-,사이에(between),intervene,"개입하다, 사이에 있다, (방해가 되는 일이) 생겨나다",The Pope will intervene personally in the crisis.,intervene|intervention,low,What does intervene mean?,"개입하다, 사이에 있다, (방해가 되는 일이) 생겨나다",etymology,53,DAY 02,2,사이에(between),inter(= between) + vene(= venire: come) → 중간에 오다,교황이 그 위기에 개인적으로 개입할 것이다.,
1,2,inter-,사이에(between),interwind,한데 얽[히]다,Circumstances will often interwind with moods.,interwind,low,What does interwind mean?,한데 얽[히]다,etymology,54,DAY 02,2,사이에(between),"inter(= between) + wind(= turn, bend) → 서로 얽히다",상황이 기분과 자주 얽히기 마련이다.,
1,2,up-,위에(up),update,"갱신하다, 최근 정보를 알려주다",We need to update our software now.,update,low,What does update mean?,"갱신하다, 최근 정보를 알려주다",etymology,88,DAY 02,2,위에(up),up(= up) + date(날짜를 적다) → 날짜를 올리다,우리는 지금 소프트웨어를 갱신할 필요가 있다.,
1,2,up-,위에(up),upset,"속상하게 하다, 뒤엎다 a. 마음이 상한",The incident upset a lot of people.,upset,low,What does upset mean?,"속상하게 하다, 뒤엎다 a. 마음이 상한",etymology,89,DAY 02,2,위에(up),up(= up) + set(맞추다) → 위로 맞추다,그 사건은 많은 사람들을 속상하게 했다.,
1,2,up-,위에(up),upgrade,"향상시키다, 등급을 올리다",He should upgrade his social skills first.,upgrade|upgradable,low,What does upgrade mean?,"향상시키다, 등급을 올리다",etymology,90,DAY 02,2,위에(up),up(= up) + grade(등급을 매기다) → 위로 등급을 올리다,그는 그의 사교 기술을 먼저 향상시켜야 한다.,
1,2,up-,위에(up),upload,(컴퓨터) 업로드하다,It takes just a few seconds to upload the file.,upload,low,What does upload mean?,(컴퓨터) 업로드하다,etymology,91,DAY 02,2,위에(up),up(= up) + load(짐을 싣다) → 위로 짐을 올리다,그 파일을 업로드하는 데 단지 몇 초밖에 걸리지 않는다.,
1,2,up-,위에(up),upstream,상류로 a. 상류의,The village is about five miles upstream.,upstream,low,What does upstream mean?,상류로 a. 상류의,etymology,92,DAY 02,2,위에(up),up(= up) + stream(흐름) → 위로 흘러,그 마을은 상류로 5마일쯤에 있다.,
1,3,ex-,"밖으로(out), 멀리(off), 완전히(thoroughly)",exaggerate,과장하다,Susan tends to exaggerate the importance of her job.,exaggerate|exaggeration,low,What does exaggerate mean?,과장하다,etymology,55,DAY 03,1,"밖으로(out), 멀리(off), 완전히(thoroughly)",ex(= thoroughly) + agger(= heap: 쌓다) + ate(접사) → 완전히[과하게] 쌓아 올리다,Susan은 자기 일의 중요성을 과장하는 경향이 있다.,exaggerate|overemphasize|glorify
1,3,ex-,"밖으로(out), 멀리(off), 완전히(thoroughly)",excavate,"발굴하다, (구멍 등을) 파다",Heinrich Schliemann excavated the ancient city of Troy.,excavate|excavation,low,What does excavate mean?,"발굴하다, (구멍 등을) 파다",etymology,56,DAY 03,1,"밖으로(out), 멀리(off), 완전히(thoroughly)",ex(= out) + cav(= hollow: 속이 빈) + ate(접사) → 속이 비게 만들다,Heinrich Schliemann이 Troy의 고대 도시를 발굴했다.,
1,3,ex-,"밖으로(out), 멀리(off), 완전히(thoroughly)",excel,"뛰어나다, 능가하다",My brother has always excelled in mathematics.,excel|excellent|excellence,low,What does excel mean?,"뛰어나다, 능가하다",etymology,57,DAY 03,1,"밖으로(out), 멀리(off), 완전히(thoroughly)",ex(= out) + cel(= cellere: rise high) → 높이 올라 밖으로 나가다,내 남동생은 항상 수학에 뛰어났다.,
1,3,ex-,"밖으로(out), 멀리(off), 완전히(thoroughly)",exchange,"교환하다, 맞바꾸다 n. 교환, 환전",We greeted each other and exchanged a few words.,exchange,low,What does exchange mean?,"교환하다, 맞바꾸다 n. 교환, 환전",etymology,58,DAY 03,1,"밖으로(out), 멀리(off), 완전히(thoroughly)",ex(= out) + change(바꾸다) → 서로 바꾸다,우리는 서로 인사를 나누었고 몇 마디 말을 교환했다.,
1,3,ex-,"밖으로(out), 멀리(off), 완전히(thoroughly)",exclusive,"독점적인, 배타적인",Language is the exclusive possession of man.,exclusive|exclude|exclusion,mid,What does exclusive mean?,"독점적인, 배타적인",etymology,59,DAY 03,1,"밖으로(out), 멀리(off), 완전히(thoroughly)",ex(= out) + clus(= shut: 닫다) + ive(접사) → 외부에 문을 닫은,언어는 인간의 독점적인 소유물이다.,
1,3,ex-,"밖으로(out), 멀리(off), 완전히(thoroughly)",exhale,"(숨을) 내쉬다, (연기 등을) 내뿜다",Hold your breath for a moment and exhale.,exhale,low,What does exhale mean?,"(숨을) 내쉬다, (연기 등을) 내뿜다",etymology,60,DAY 03,1,"밖으로(out), 멀리(off), 완전히(thoroughly)",ex(= out) + hale(= breathe) → 숨을 밖으로 내뱉다,잠시 숨을 참았다가 내쉬어라,
1,3,ex-,"밖으로(out), 멀리(off), 완전히(thoroughly)",exhaust,"다 써버리다, 지치게 하다, 고갈시키다 n. (자동차 등의) 배기가스",Within a week they had exhausted their resources.,exhaust|xhaustion|exhausted,low,What does exhaust mean?,"다 써버리다, 지치게 하다, 고갈시키다 n. (자동차 등의) 배기가스",etymology,61,DAY 03,1,"밖으로(out), 멀리(off), 완전히(thoroughly)",ex(= off) + haust(= haurire: draw up) → 위로 끌어올려 멀리 내보내다,일주일도 못 가 그들은 물자를 다 써 버렸다.,
1,3,ex-,"밖으로(out), 멀리(off), 완전히(thoroughly)",expand,"확대[팽창]시키다, 확대[팽창]되다",Heat expands metals.,expand|expansion,low,What does expand mean?,"확대[팽창]시키다, 확대[팽창]되다",etymology,62,DAY 03,1,"밖으로(out), 멀리(off), 완전히(thoroughly)",ex(= out) + pand(= spread) → 밖으로 퍼뜨리다,열은 금속을 팽창시킨다.,
1,3,ex-,"밖으로(out), 멀리(off), 완전히(thoroughly)",expel,"퇴학시키다, 추방하다",He was expelled from school for fighting.,expel|expulsion,low,What does expel mean?,"퇴학시키다, 추방하다",etymology,63,DAY 03,1,"밖으로(out), 멀리(off), 완전히(thoroughly)",ex(= out) + pel(= pellere: drive) → 밖으로 내몰다,그는 싸움으로 인해 학교에서 퇴학당했다.,
